# eta   f(eta)   f'(eta)
7.46 5.73924 0.999983
7.47 5.74924 0.999984
7.48 5.75924 0.999984
7.49 5.76924 0.999985
7.5 5.77924 0.999986
7.51 5.78924 0.999986
7.52 5.79924 0.999987
7.53 5.80924 0.999987
7.54 5.81924 0.999988
7.55 5.82924 0.999988
7.56 5.83924 0.999989
7.57 5.84924 0.999989
7.58 5.85924 0.99999
7.59 5.86924 0.99999
7.6 5.87924 0.99999
7.61 5.88924 0.999991
7.62 5.89924 0.999991
7.63 5.90924 0.999992
7.64 5.91924 0.999992
7.65 5.92924 0.999992
7.66 5.93924 0.999993
7.67 5.94924 0.999993
7.68 5.95924 0.999993
7.69 5.96924 0.999994
7.7 5.97924 0.999994
7.71 5.98924 0.999994
7.72 5.99924 0.999995
7.73 6.00924 0.999995
7.74 6.01924 0.999995
7.75 6.02924 0.999995
7.76 6.03924 0.999996
7.77 6.04924 0.999996
7.78 6.05924 0.999996
7.79 6.06924 0.999996
7.8 6.07924 0.999997
7.81 6.08924 0.999997
7.82 6.09924 0.999997
7.83 6.10924 0.999997
7.84 6.11924 0.999997
7.85 6.12924 0.999998
7.86 6.13924 0.999998
7.87 6.14924 0.999998
7.88 6.15924 0.999998
7.89 6.16924 0.999998
7.9 6.17924 0.999999
7.91 6.18924 0.999999
7.92 6.19924 0.999999
7.93 6.20924 0.999999
7.94 6.21924 0.999999
7.95 6.22924 0.999999
7.96 6.23924 1
7.97 6.24924 1
7.98 6.25924 1
7.99 6.26924 1
8 6.27924 1
